type,organism,dnds
NE,S. cerevisiae,0.1168
NE,S. cerevisiae,0.0934
NE,S. cerevisiae,0.42425
NE,S. cerevisiae,0.13435
NE,S. cerevisiae,0.2328
NE,S. cerevisiae,0.2444
NE,S. cerevisiae,0.0423
NE,S. cerevisiae,0.1875
NE,S. cerevisiae,0.21285
NE,S. cerevisiae,0.0836
NE,S. cerevisiae,0.0725
NE,S. cerevisiae,0.1756
NE,S. cerevisiae,0.0674
NE,S. cerevisiae,0.1714
NE,S. cerevisiae,0.0591
NE,S. cerevisiae,0.265
NE,S. cerevisiae,0.3029
NE,S. cerevisiae,0.1207
NE,S. cerevisiae,0.0629
NE,S. cerevisiae,0.1159
NE,S. cerevisiae,0.3161
NE,S. cerevisiae,0.3741
NE,S. cerevisiae,0.1207
NE,S. cerevisiae,0.0935
NE,S. cerevisiae,0.2882
NE,S. cerevisiae,0.1364
NE,S. cerevisiae,0.0697
NE,S. cerevisiae,0.0968
NE,S. cerevisiae,0.0947
NE,S. cerevisiae,0.1309
NE,S. cerevisiae,0.2703
NE,S. cerevisiae,0.43520000000000003
NE,S. cerevisiae,0.0827
NE,S. cerevisiae,0.3576
NE,S. cerevisiae,0.1299
NE,S. cerevisiae,0.0758
NE,S. cerevisiae,0.1342
NE,S. cerevisiae,0.1544
NE,S. cerevisiae,0.1038
NE,S. cerevisiae,0.0776
NE,S. cerevisiae,0.0843
NE,S. cerevisiae,0.0627
NE,S. cerevisiae,0.2485
NE,S. cerevisiae,0.0421
NE,S. cerevisiae,0.10965
NE,S. cerevisiae,0.25205
NE,S. cerevisiae,0.0388
NE,S. cerevisiae,0.1638
NE,S. cerevisiae,0.1136
NE,S. cerevisiae,0.1285
NE,S. cerevisiae,0.0705
NE,S. cerevisiae,0.08545
NE,S. cerevisiae,0.1774
NE,S. cerevisiae,0.0696
NE,S. cerevisiae,0.3203
NE,S. cerevisiae,0.0906
NE,S. cerevisiae,0.165
NE,S. cerevisiae,0.1352
NE,S. cerevisiae,0.2547
NE,S. cerevisiae,0.0516
NE,S. cerevisiae,0.1127
NE,S. cerevisiae,0.2771
NE,S. cerevisiae,0.0709
NE,S. cerevisiae,0.3004
NE,S. cerevisiae,0.2073
NE,S. cerevisiae,0.1035
NE,S. cerevisiae,0.1356
NE,S. cerevisiae,0.2069
NE,S. cerevisiae,0.1332
NE,S. cerevisiae,0.0722
NE,S. cerevisiae,0.0927
NE,S. cerevisiae,0.1389
NE,S. cerevisiae,0.1623
NE,S. cerevisiae,0.1648
NE,S. cerevisiae,0.1104
NE,S. cerevisiae,0.0823
NE,S. cerevisiae,0.2746
NE,S. cerevisiae,0.083
NE,S. cerevisiae,0.2627
NE,S. cerevisiae,0.2068
NE,S. cerevisiae,0.0674
NE,S. cerevisiae,0.1476
NE,S. cerevisiae,0.1705
NE,S. cerevisiae,0.2057
NE,S. cerevisiae,0.1025
NE,S. cerevisiae,0.08395
NE,S. cerevisiae,0.1495
NE,S. cerevisiae,0.1629
NE,S. cerevisiae,0.37305
NE,S. cerevisiae,0.0664
NE,S. cerevisiae,0.1382
NE,S. cerevisiae,0.1273
NE,S. cerevisiae,0.1004
NE,S. cerevisiae,0.0723
NE,S. cerevisiae,0.257
NE,S. cerevisiae,0.147
NE,S. cerevisiae,0.0531
NE,S. cerevisiae,0.4033
NE,S. cerevisiae,0.091
NE,S. cerevisiae,0.2215
NE,S. cerevisiae,0.2233
NE,S. cerevisiae,0.2009
NE,S. cerevisiae,0.3505
NE,S. cerevisiae,0.3051
NE,S. cerevisiae,0.1767
NE,S. cerevisiae,0.0479
NE,S. cerevisiae,0.1306
NE,S. cerevisiae,0.17604999999999998
NE,S. cerevisiae,0.0704
NE,S. cerevisiae,0.1949
NE,S. cerevisiae,0.0662
NE,S. cerevisiae,0.1153
NE,S. cerevisiae,0.1459
NE,S. cerevisiae,0.24495
NE,S. cerevisiae,0.1399
NE,S. cerevisiae,0.06
NE,S. cerevisiae,0.1139
NE,S. cerevisiae,0.0761
NE,S. cerevisiae,0.1065
NE,S. cerevisiae,0.09964999999999999
NE,S. cerevisiae,0.024
NE,S. cerevisiae,0.1806
NE,S. cerevisiae,0.1259
NE,S. cerevisiae,0.0539
NE,S. cerevisiae,0.0877
NE,S. cerevisiae,0.1413
NE,S. cerevisiae,0.1359
NE,S. cerevisiae,0.2438
NE,S. cerevisiae,0.1152
NE,S. cerevisiae,0.06755
NE,S. cerevisiae,0.0964
NE,S. cerevisiae,0.052
NE,S. cerevisiae,0.0373
NE,S. cerevisiae,0.0912
NE,S. cerevisiae,0.0388
NE,S. cerevisiae,0.0507
NE,S. cerevisiae,0.2237
NE,S. cerevisiae,0.19945000000000002
NE,S. cerevisiae,0.057
NE,S. cerevisiae,0.1023
NE,S. cerevisiae,0.119
NE,S. cerevisiae,0.1102
NE,S. cerevisiae,0.5157
NE,S. cerevisiae,0.0798
NE,S. cerevisiae,0.2966
NE,S. cerevisiae,0.2382
NE,S. cerevisiae,0.3034
NE,S. cerevisiae,0.305
NE,S. cerevisiae,0.13435
NE,S. cerevisiae,0.1713
NE,S. cerevisiae,0.1788
NE,S. cerevisiae,0.0657
NE,S. cerevisiae,0.1415
NE,S. cerevisiae,0.3539
NE,S. cerevisiae,0.1362
NE,S. cerevisiae,0.1428
NE,S. cerevisiae,0.1859
NE,S. cerevisiae,0.1005
NE,S. cerevisiae,0.1682
NE,S. cerevisiae,0.3276
NE,S. cerevisiae,0.1948
NE,S. cerevisiae,0.1248
NE,S. cerevisiae,0.0477
NE,S. cerevisiae,0.0674
NE,S. cerevisiae,0.12065000000000001
NE,S. cerevisiae,0.0827
NE,S. cerevisiae,0.1292
NE,S. cerevisiae,0.0981
NE,S. cerevisiae,0.2406
NE,S. cerevisiae,0.0582
NE,S. cerevisiae,0.2104
NE,S. cerevisiae,0.1143
NE,S. cerevisiae,0.1292
NE,S. cerevisiae,0.0286
NE,S. cerevisiae,0.0682
NE,S. cerevisiae,0.3863
NE,S. cerevisiae,0.1577
NE,S. cerevisiae,0.3299
NE,S. cerevisiae,0.1458
NE,S. cerevisiae,0.0561
NE,S. cerevisiae,0.0826
NE,S. cerevisiae,0.2017
NE,S. cerevisiae,0.13674999999999998
NE,S. cerevisiae,0.1798
NE,S. cerevisiae,0.0733
NE,S. cerevisiae,0.1281
NE,S. cerevisiae,0.2365
NE,S. cerevisiae,0.1002
NE,S. cerevisiae,0.2685
NE,S. cerevisiae,0.1741
NE,S. cerevisiae,0.1297
NE,S. cerevisiae,0.0315
NE,S. cerevisiae,0.0645
NE,S. cerevisiae,0.18305
NE,S. cerevisiae,0.18305
NE,S. cerevisiae,0.092
NE,S. cerevisiae,0.2258
NE,S. cerevisiae,0.1292
NE,S. cerevisiae,0.326
NE,S. cerevisiae,0.0886
NE,S. cerevisiae,0.1396
NE,S. cerevisiae,0.2612
NE,S. cerevisiae,0.0663
NE,S. cerevisiae,0.1699
NE,S. cerevisiae,0.0512
NE,S. cerevisiae,0.2093
NE,S. cerevisiae,0.1371
NE,S. cerevisiae,0.1198
NE,S. cerevisiae,0.48834999999999995
NE,S. cerevisiae,0.15775
NE,S. cerevisiae,0.2283
NE,S. cerevisiae,0.20185
NE,S. cerevisiae,0.1572
NE,S. cerevisiae,0.26785000000000003
NE,S. cerevisiae,0.1147
NE,S. cerevisiae,0.15975
NE,S. cerevisiae,0.1665
NE,S. cerevisiae,0.1948
NE,S. cerevisiae,0.226
NE,S. cerevisiae,0.0755
NE,S. cerevisiae,0.0315
NE,S. cerevisiae,0.03875
NE,S. cerevisiae,0.1006
NE,S. cerevisiae,0.0636
NE,S. cerevisiae,0.14455
NE,S. cerevisiae,0.1836
NE,S. cerevisiae,0.1069
NE,S. cerevisiae,0.0826
NE,S. cerevisiae,0.1652
NE,S. cerevisiae,0.297
NE,S. cerevisiae,0.2117
NE,S. cerevisiae,0.164
NE,S. cerevisiae,0.3012
NE,S. cerevisiae,0.0388
NE,S. cerevisiae,0.1126
NE,S. cerevisiae,0.0786
NE,S. cerevisiae,0.1379
NE,S. cerevisiae,0.1519
NE,S. cerevisiae,0.2229
NE,S. cerevisiae,0.0746
NE,S. cerevisiae,0.1992
NE,S. cerevisiae,0.0977
NE,S. cerevisiae,0.0502
NE,S. cerevisiae,0.1141
NE,S. cerevisiae,0.1672
NE,S. cerevisiae,0.2556
NE,S. cerevisiae,0.24375
NE,S. cerevisiae,0.20795
NE,S. cerevisiae,0.1163
NE,S. cerevisiae,0.044
NE,S. cerevisiae,0.1678
NE,S. cerevisiae,0.1696
NE,S. cerevisiae,0.063
NE,S. cerevisiae,0.0962
NE,S. cerevisiae,0.0513
NE,S. cerevisiae,0.0486
NE,S. cerevisiae,0.1892
NE,S. cerevisiae,0.1845
NE,S. cerevisiae,0.1309
NE,S. cerevisiae,0.1251
NE,S. cerevisiae,0.2279
NE,S. cerevisiae,0.033549999999999996
NE,S. cerevisiae,0.306
NE,S. cerevisiae,0.0977
NE,S. cerevisiae,0.0809
NE,S. cerevisiae,0.2156
NE,S. cerevisiae,0.2409
NE,S. cerevisiae,0.1038
NE,S. cerevisiae,0.0556
NE,S. cerevisiae,0.1324
NE,S. cerevisiae,0.1921
NE,S. cerevisiae,0.1928
NE,S. cerevisiae,0.43425
NE,S. cerevisiae,0.1468
NE,S. cerevisiae,0.16045
NE,S. cerevisiae,0.0849
NE,S. cerevisiae,0.0636
NE,S. cerevisiae,0.1695
NE,S. cerevisiae,0.1455
NE,S. cerevisiae,0.1144
NE,S. cerevisiae,0.10769999999999999
NE,S. cerevisiae,0.1281
NE,S. cerevisiae,0.18585000000000002
NE,S. cerevisiae,0.0645
NE,S. cerevisiae,0.0903
NE,S. cerevisiae,0.1186
NE,S. cerevisiae,0.07355
NE,S. cerevisiae,0.116
NE,S. cerevisiae,0.0935
NE,S. cerevisiae,0.1118
NE,S. cerevisiae,0.0949
NE,S. cerevisiae,0.0711
NE,S. cerevisiae,0.141
NE,S. cerevisiae,0.1331
NE,S. cerevisiae,0.26395
NE,S. cerevisiae,0.0954
NE,S. cerevisiae,0.1097
NE,S. cerevisiae,0.1238
NE,S. cerevisiae,0.0652
NE,S. cerevisiae,0.26765
NE,S. cerevisiae,0.0947
NE,S. cerevisiae,0.2051
NE,S. cerevisiae,0.1282
NE,S. cerevisiae,0.1282
NE,S. cerevisiae,0.2492
NE,S. cerevisiae,0.1284
NE,S. cerevisiae,0.1316
NE,S. cerevisiae,0.223
NE,S. cerevisiae,0.1184
NE,S. cerevisiae,0.1574
NE,S. cerevisiae,0.0501
NE,S. cerevisiae,0.1597
NE,S. cerevisiae,0.1108
NE,S. cerevisiae,0.1208
NE,S. cerevisiae,0.3096
NE,S. cerevisiae,0.2361
NE,S. cerevisiae,0.1303
NE,S. cerevisiae,0.0949
NE,S. cerevisiae,0.2139
NE,S. cerevisiae,0.07345
NE,S. cerevisiae,0.0443
NE,S. cerevisiae,0.0892
NE,S. cerevisiae,0.2074
NE,S. cerevisiae,0.1218
NE,S. cerevisiae,0.10715
NE,S. cerevisiae,0.0255
NE,S. cerevisiae,0.1065
NE,S. cerevisiae,0.0528
NE,S. cerevisiae,0.0999
NE,S. cerevisiae,0.0867
NE,S. cerevisiae,0.195
NE,S. cerevisiae,0.106
NE,S. cerevisiae,0.26355
NE,S. cerevisiae,0.0756
NE,S. cerevisiae,0.13425
NE,S. cerevisiae,0.0665
NE,S. cerevisiae,0.1841
NE,S. cerevisiae,0.0296
NE,S. cerevisiae,0.0567
NE,S. cerevisiae,0.1914
NE,S. cerevisiae,0.1348
NE,S. cerevisiae,0.1805
NE,S. cerevisiae,0.1539
NE,S. cerevisiae,0.0761
NE,S. cerevisiae,0.0971
NE,S. cerevisiae,0.0625
NE,S. cerevisiae,0.1969
NE,S. cerevisiae,0.1567
NE,S. cerevisiae,0.0857
NE,S. cerevisiae,0.1171
NE,S. cerevisiae,0.0324
NE,S. cerevisiae,0.08665
NE,S. cerevisiae,0.1526
NE,S. cerevisiae,0.1273
NE,S. cerevisiae,0.0405
NE,S. cerevisiae,0.1146
NE,S. cerevisiae,0.1103
NE,S. cerevisiae,0.1001
NE,S. cerevisiae,0.1475
NE,S. cerevisiae,0.164
NE,S. cerevisiae,0.0914
NE,S. cerevisiae,0.207
NE,S. cerevisiae,0.13115
NE,S. cerevisiae,0.0982
NE,S. cerevisiae,0.1799
NE,S. cerevisiae,0.16125
NE,S. cerevisiae,0.1172
NE,S. cerevisiae,0.1648
NE,S. cerevisiae,0.1258
NE,S. cerevisiae,0.1322
NE,S. cerevisiae,0.1633
NE,S. cerevisiae,0.05355
NE,S. cerevisiae,0.13335
NE,S. cerevisiae,0.1847
NE,S. cerevisiae,0.2905
NE,S. cerevisiae,0.1612
NE,S. cerevisiae,0.078
NE,S. cerevisiae,0.2349
NE,S. cerevisiae,0.1104
NE,S. cerevisiae,0.0913
NE,S. cerevisiae,0.0896
NE,S. cerevisiae,0.1081
NE,S. cerevisiae,0.079
NE,S. cerevisiae,0.0872
NE,S. cerevisiae,0.1127
NE,S. cerevisiae,0.1089
NE,S. cerevisiae,0.0476
NE,S. cerevisiae,0.1599
NE,S. cerevisiae,0.1632
NE,S. cerevisiae,0.0702
NE,S. cerevisiae,0.2249
NE,S. cerevisiae,0.0611
NE,S. cerevisiae,0.2047
NE,S. cerevisiae,0.047
NE,S. cerevisiae,0.11205
NE,S. cerevisiae,0.0336
NE,S. cerevisiae,0.1093
NE,S. cerevisiae,0.0549
NE,S. cerevisiae,0.0495
NE,S. cerevisiae,0.1941
NE,S. cerevisiae,0.2091
NE,S. cerevisiae,0.064
NE,S. cerevisiae,0.1313
NE,S. cerevisiae,0.0933
NE,S. cerevisiae,0.2389
NE,S. cerevisiae,0.2863
NE,S. cerevisiae,0.0838
NE,S. cerevisiae,0.0823
NE,S. cerevisiae,0.12645
NE,S. cerevisiae,0.0525
NE,S. cerevisiae,0.04315
NE,S. cerevisiae,0.2009
NE,S. cerevisiae,0.2186
NE,S. cerevisiae,0.2444
NE,S. cerevisiae,0.1181
NE,S. cerevisiae,0.1315
NE,S. cerevisiae,0.1161
NE,S. cerevisiae,0.1731
NE,S. cerevisiae,0.1656
NE,S. cerevisiae,0.1076
NE,S. cerevisiae,0.1538
NE,S. cerevisiae,0.1601
NE,S. cerevisiae,0.3293
NE,S. cerevisiae,0.4064
NE,S. cerevisiae,0.0777
NE,S. cerevisiae,0.1126
NE,S. cerevisiae,0.1022
NE,S. cerevisiae,0.0497
NE,S. cerevisiae,0.0775
NE,S. cerevisiae,0.2316
NE,S. cerevisiae,0.11265
NE,S. cerevisiae,0.0721
NE,S. cerevisiae,0.074
NE,S. cerevisiae,0.10264999999999999
NE,S. cerevisiae,0.1039
NE,S. cerevisiae,0.2183
NE,S. cerevisiae,0.24109999999999998
NE,S. cerevisiae,0.0651
NE,S. cerevisiae,0.0773
NE,S. cerevisiae,0.1914
NE,S. cerevisiae,0.1714
NE,S. cerevisiae,0.1411
NE,S. cerevisiae,0.09
NE,S. cerevisiae,0.0878
NE,S. cerevisiae,0.138
NE,S. cerevisiae,0.0871
NE,S. cerevisiae,0.1471
NE,S. cerevisiae,0.0864
NE,S. cerevisiae,0.3092
NE,S. cerevisiae,0.1446
NE,S. cerevisiae,0.1461
NE,S. cerevisiae,0.214
NE,S. cerevisiae,0.18585000000000002
NE,S. cerevisiae,0.0823
NE,S. cerevisiae,0.13495000000000001
NE,S. cerevisiae,0.1167
NE,S. cerevisiae,0.0567
NE,S. cerevisiae,0.2433
NE,S. cerevisiae,0.1643
NE,S. cerevisiae,0.0374
NE,S. cerevisiae,0.0983
NE,S. cerevisiae,0.2412
NE,S. cerevisiae,0.1631
NE,S. cerevisiae,0.1806
NE,S. cerevisiae,0.1423
NE,S. cerevisiae,0.1374
NE,S. cerevisiae,0.0875
NE,S. cerevisiae,0.2741
NE,S. cerevisiae,0.2281
NE,S. cerevisiae,0.2519
NE,S. cerevisiae,0.2461
NE,S. cerevisiae,0.1086
NE,S. cerevisiae,0.14565
NE,S. cerevisiae,0.3754
NE,S. cerevisiae,0.2499
NE,S. cerevisiae,0.0949
NE,S. cerevisiae,0.1598
NE,S. cerevisiae,0.07345
NE,S. cerevisiae,0.0443
NE,S. cerevisiae,0.1218
NE,S. cerevisiae,0.2603
NE,S. cerevisiae,0.0808
NE,S. cerevisiae,0.0879
NE,S. cerevisiae,0.2855
NE,S. cerevisiae,0.14739999999999998
NE,S. cerevisiae,0.1499
NE,S. cerevisiae,0.23904999999999998
NE,S. cerevisiae,0.0528
NE,S. cerevisiae,0.2009
NE,S. cerevisiae,0.09405
NE,S. cerevisiae,0.1114
NE,S. cerevisiae,0.1984
NE,S. cerevisiae,0.1936
NE,S. cerevisiae,0.18635000000000002
NE,S. cerevisiae,0.2069
NE,S. cerevisiae,0.0882
NE,S. cerevisiae,0.416
NE,S. cerevisiae,0.1987
NE,S. cerevisiae,0.1987
NE,S. cerevisiae,0.0896
NE,S. cerevisiae,0.11
NE,S. cerevisiae,0.1031
NE,S. cerevisiae,0.0253
NE,S. cerevisiae,0.0798
NE,S. cerevisiae,0.1106
NE,S. cerevisiae,0.1483
NE,S. cerevisiae,0.22585
NE,S. cerevisiae,0.0949
NE,S. cerevisiae,0.302
NE,S. cerevisiae,0.1425
NE,S. cerevisiae,0.2581
NE,S. cerevisiae,0.1037
NE,S. cerevisiae,0.1269
NE,S. cerevisiae,0.07595
NE,S. cerevisiae,0.1516
NE,S. cerevisiae,0.17475000000000002
NE,S. cerevisiae,0.1612
NE,S. cerevisiae,0.0751
NE,S. cerevisiae,0.1144
NE,S. cerevisiae,0.128
NE,S. cerevisiae,0.2325
NE,S. cerevisiae,0.3303
NE,S. cerevisiae,0.2367
NE,S. cerevisiae,0.0874
NE,S. cerevisiae,0.0898
NE,S. cerevisiae,0.0356
NE,S. cerevisiae,0.08385000000000001
NE,S. cerevisiae,0.5212
NE,S. cerevisiae,0.1363
NE,S. cerevisiae,0.11555
NE,S. cerevisiae,0.1768
NE,S. cerevisiae,0.06775
NE,S. cerevisiae,0.0508
NE,S. cerevisiae,0.1251
NE,S. cerevisiae,0.09015000000000001
NE,S. cerevisiae,0.1298
NE,S. cerevisiae,0.1364
NE,S. cerevisiae,0.0882
NE,S. cerevisiae,0.06925
NE,S. cerevisiae,0.1049
NE,S. cerevisiae,0.1633
NE,S. cerevisiae,0.09365000000000001
NE,S. cerevisiae,0.109
NE,S. cerevisiae,0.4504
NE,S. cerevisiae,0.3635
NE,S. cerevisiae,0.1897
NE,S. cerevisiae,0.453
NE,S. cerevisiae,0.0538
NE,S. cerevisiae,0.1235
NE,S. cerevisiae,0.2155
NE,S. cerevisiae,0.15394999999999998
NE,S. cerevisiae,0.1921
NE,S. cerevisiae,0.06955
NE,S. cerevisiae,0.2193
NE,S. cerevisiae,0.14429999999999998
NE,S. cerevisiae,0.20105
NE,S. cerevisiae,0.4467
NE,S. cerevisiae,0.1413
NE,S. cerevisiae,0.066
NE,S. cerevisiae,0.0815
NE,S. cerevisiae,0.0957
NE,S. cerevisiae,0.2296
NE,S. cerevisiae,0.2037
NE,S. cerevisiae,0.1059
NE,S. cerevisiae,0.135
NE,S. cerevisiae,0.0566
NE,S. cerevisiae,0.1275
NE,S. cerevisiae,0.0491
NE,S. cerevisiae,0.0837
NE,S. cerevisiae,0.1245
NE,S. cerevisiae,0.18764999999999998
NE,S. cerevisiae,0.1411
NE,S. cerevisiae,0.1311
NE,S. cerevisiae,0.1128
NE,S. cerevisiae,0.1128
NE,S. cerevisiae,0.2296
NE,S. cerevisiae,0.1052
NE,S. cerevisiae,0.2193
NE,S. cerevisiae,0.0539
NE,S. cerevisiae,0.06405
NE,S. cerevisiae,0.0332
NE,S. cerevisiae,0.2469
NE,S. cerevisiae,0.3756
NE,S. cerevisiae,0.0509
NE,S. cerevisiae,0.0508
NE,S. cerevisiae,0.2587
NE,S. cerevisiae,0.118
NE,S. cerevisiae,0.1688
NE,S. cerevisiae,0.12495
NE,S. cerevisiae,0.1852
NE,S. cerevisiae,0.039400000000000004
NE,S. cerevisiae,0.253
NE,S. cerevisiae,0.1176
NE,S. cerevisiae,0.29175
NE,S. cerevisiae,0.263
NE,S. cerevisiae,0.121
NE,S. cerevisiae,0.134
NE,S. cerevisiae,0.05335
NE,S. cerevisiae,0.1343
NE,S. cerevisiae,0.2015
NE,S. cerevisiae,0.1527
NE,S. cerevisiae,0.0602
NE,S. cerevisiae,0.242
NE,S. cerevisiae,0.14029999999999998
NE,S. cerevisiae,0.0927
NE,S. cerevisiae,0.143
NE,S. cerevisiae,0.0808
NE,S. cerevisiae,0.3687
NE,S. cerevisiae,0.0715
NE,S. cerevisiae,0.0798
NE,S. cerevisiae,0.2366
NE,S. cerevisiae,0.0931
NE,S. cerevisiae,0.5433
NE,S. cerevisiae,0.1325
NE,S. cerevisiae,0.18664999999999998
NE,S. cerevisiae,0.0893
NE,S. cerevisiae,0.0627
NE,S. cerevisiae,0.3135
NE,S. cerevisiae,0.187
NE,S. cerevisiae,0.0659
NE,S. cerevisiae,0.0612
NE,S. cerevisiae,0.0831
NE,S. cerevisiae,0.1351
NE,S. cerevisiae,0.0679
NE,S. cerevisiae,0.1072
NE,S. cerevisiae,0.0835
NE,S. cerevisiae,0.0786
NE,S. cerevisiae,0.1567
NE,S. cerevisiae,0.1567
NE,S. cerevisiae,0.0608
NE,S. cerevisiae,0.1708
NE,S. cerevisiae,0.2346
NE,S. cerevisiae,0.0524
NE,S. cerevisiae,0.1186
NE,S. cerevisiae,0.1851
NE,S. cerevisiae,0.1366
NE,S. cerevisiae,0.20385
NE,S. cerevisiae,0.0468
NE,S. cerevisiae,0.2906
NE,S. cerevisiae,0.1349
NE,S. cerevisiae,0.2216
NE,S. cerevisiae,0.1492
NE,S. cerevisiae,0.1213
NE,S. cerevisiae,0.2364
NE,S. cerevisiae,0.037
NE,S. cerevisiae,0.3792
NE,S. cerevisiae,0.1185
NE,S. cerevisiae,0.4727
NE,S. cerevisiae,0.1669
NE,S. cerevisiae,0.0742
NE,S. cerevisiae,0.0629
NE,S. cerevisiae,0.1277
NE,S. cerevisiae,0.1277
NE,S. cerevisiae,0.1217
NE,S. cerevisiae,0.0689
NE,S. cerevisiae,0.1118
NE,S. cerevisiae,0.1718
NE,S. cerevisiae,0.1976
NE,S. cerevisiae,0.1545
NE,S. cerevisiae,0.223
NE,S. cerevisiae,0.0841
NE,S. cerevisiae,0.07780000000000001
NE,S. cerevisiae,0.1269
NE,S. cerevisiae,0.1621
NE,S. cerevisiae,0.189
NE,S. cerevisiae,0.0894
NE,S. cerevisiae,0.13674999999999998
NE,S. cerevisiae,0.0713
NE,S. cerevisiae,0.0794
NE,S. cerevisiae,0.4554
NE,S. cerevisiae,0.1341
NE,S. cerevisiae,0.1543
NE,S. cerevisiae,0.0722
NE,S. cerevisiae,0.0715
NE,S. cerevisiae,0.1827
NE,S. cerevisiae,0.0399
NE,S. cerevisiae,0.1682
NE,S. cerevisiae,0.0818
NE,S. cerevisiae,0.086
NE,S. cerevisiae,0.1466
NE,S. cerevisiae,0.13325
NE,S. cerevisiae,0.1427
NE,S. cerevisiae,0.0919
NE,S. cerevisiae,0.0719
NE,S. cerevisiae,0.0719
NE,S. cerevisiae,0.09775
NE,S. cerevisiae,0.07195
NE,S. cerevisiae,0.0346
NE,S. cerevisiae,0.1243
NE,S. cerevisiae,0.3557
NE,S. cerevisiae,0.0864
NE,S. cerevisiae,0.1561
NE,S. cerevisiae,0.2042
NE,S. cerevisiae,0.1126
NE,S. cerevisiae,0.121
NE,S. cerevisiae,0.0569
NE,S. cerevisiae,0.0437
NE,S. cerevisiae,0.0681
NE,S. cerevisiae,0.4216
NE,S. cerevisiae,0.265
NE,S. cerevisiae,0.05955
NE,S. cerevisiae,0.1075
NE,S. cerevisiae,0.1034
NE,S. cerevisiae,0.1127
NE,S. cerevisiae,0.0789
NE,S. cerevisiae,0.0973
NE,S. cerevisiae,0.0407
NE,S. cerevisiae,0.1005
NE,S. cerevisiae,0.15725
NE,S. cerevisiae,0.33755
NE,S. cerevisiae,0.2767
NE,S. cerevisiae,0.1692
NE,S. cerevisiae,0.1769
NE,S. cerevisiae,0.0574
NE,S. cerevisiae,0.1694
NE,S. cerevisiae,0.0596
NE,S. cerevisiae,0.2756
NE,S. cerevisiae,0.18380000000000002
NE,S. cerevisiae,0.1134
NE,S. cerevisiae,0.222
NE,S. cerevisiae,0.16995
NE,S. cerevisiae,0.0179
NE,S. cerevisiae,0.1069
NE,S. cerevisiae,0.2113
NE,S. cerevisiae,0.1037
NE,S. cerevisiae,0.2978
NE,S. cerevisiae,0.0833
NE,S. cerevisiae,0.0914
NE,S. cerevisiae,0.1195
NE,S. cerevisiae,0.22
NE,S. cerevisiae,0.2837
NE,S. cerevisiae,0.1286
NE,S. cerevisiae,0.1212
NE,S. cerevisiae,0.1212
NE,S. cerevisiae,0.1683
NE,S. cerevisiae,0.1199
NE,S. cerevisiae,0.0984
NE,S. cerevisiae,0.193
NE,S. cerevisiae,0.063
NE,S. cerevisiae,0.2334
NE,S. cerevisiae,0.18335
NE,S. cerevisiae,0.1328
NE,S. cerevisiae,0.0885
NE,S. cerevisiae,0.2233
NE,S. cerevisiae,0.1851
NE,S. cerevisiae,0.0509
NE,S. cerevisiae,0.4544
NE,S. cerevisiae,0.0653
NE,S. cerevisiae,0.2657
NE,S. cerevisiae,0.1734
NE,S. cerevisiae,0.1177
NE,S. cerevisiae,0.03585
NE,S. cerevisiae,0.115
NE,S. cerevisiae,0.3495
NE,S. cerevisiae,0.10175000000000001
NE,S. cerevisiae,0.16045
NE,S. cerevisiae,0.1634
NE,S. cerevisiae,0.2115
NE,S. cerevisiae,0.29
NE,S. cerevisiae,0.0755
NE,S. cerevisiae,0.3735
NE,S. cerevisiae,0.1062
NE,S. cerevisiae,0.1101
NE,S. cerevisiae,0.18135
NE,S. cerevisiae,0.0762
NE,S. cerevisiae,0.0732
NE,S. cerevisiae,0.30255
NE,S. cerevisiae,0.0928
NE,S. cerevisiae,0.1292
NE,S. cerevisiae,0.1128
NE,S. cerevisiae,0.1295
NE,S. cerevisiae,0.071
NE,S. cerevisiae,0.0853
NE,S. cerevisiae,0.38265
NE,S. cerevisiae,0.1235
NE,S. cerevisiae,0.1485
NE,S. cerevisiae,0.2128
NE,S. cerevisiae,0.0641
NE,S. cerevisiae,0.1708
NE,S. cerevisiae,0.0759
NE,S. cerevisiae,0.143
NE,S. cerevisiae,0.1317
NE,S. cerevisiae,0.2347
NE,S. cerevisiae,0.4003
NE,S. cerevisiae,0.1925
NE,S. cerevisiae,0.1342
NE,S. cerevisiae,0.06225
NE,S. cerevisiae,0.0807
NE,S. cerevisiae,0.1004
NE,S. cerevisiae,0.1228
NE,S. cerevisiae,0.0805
NE,S. cerevisiae,0.045
NE,S. cerevisiae,0.0584
NE,S. cerevisiae,0.0759
NE,S. cerevisiae,0.1018
NE,S. cerevisiae,0.2028
NE,S. cerevisiae,0.077
NE,S. cerevisiae,0.1122
NE,S. cerevisiae,0.0891
NE,S. cerevisiae,0.15845
NE,S. cerevisiae,0.1769
NE,S. cerevisiae,0.2071
NE,S. cerevisiae,0.2477
NE,S. cerevisiae,0.1351
NE,S. cerevisiae,0.2207
NE,S. cerevisiae,0.2776
NE,S. cerevisiae,0.0601
NE,S. cerevisiae,0.1446
NE,S. cerevisiae,0.1354
NE,S. cerevisiae,0.0455
NE,S. cerevisiae,0.1722
NE,S. cerevisiae,0.1128
NE,S. cerevisiae,0.123
NE,S. cerevisiae,0.0927
NE,S. cerevisiae,0.174
NE,S. cerevisiae,0.2628
NE,S. cerevisiae,0.0351
NE,S. cerevisiae,0.04995
NE,S. cerevisiae,0.0966
